"benchmark","tool",runs,tgen,texec,avgcovi,avgcovb,avgcovm
"LANG-1","randoop",6,101.34,0.08,0.8538,0.6954,0.0312
"BARBECUE-2","randoop",6,100.35,0.00,0.0000,0.0000,0.0000
"TIME-3","randoop",6,100.38,0.00,0.0000,0.0000,0.0000
"BARBECUE-4","randoop",6,102.13,0.16,0.4286,1.0000,0.4333
"LANG-5","randoop",6,101.50,0.10,0.7211,0.5547,0.0344
"TIME-6","randoop",6,101.20,0.00,0.0000,0.0000,0.0000
"TIME-7","randoop",6,100.31,0.00,0.0000,0.0000,0.0000
"LANG-8","randoop",6,100.32,0.00,0.0000,0.0000,0.0000
"TIME-9","randoop",6,100.38,0.00,0.0000,1.0000,0.0000
"BARBECUE-10","randoop",6,100.58,0.08,0.5179,0.2083,0.0207
"BARBECUE-11","randoop",6,102.07,0.54,0.7714,0.4457,0.0077
"BARBECUE-12","randoop",6,101.87,0.46,1.0000,1.0000,0.0000
"BARBECUE-13","randoop",6,101.45,0.04,0.6800,0.6667,0.3394
"TIME-14","randoop",6,102.52,4.12,0.5349,0.3548,0.0000
"TIME-15","randoop",6,100.33,0.00,0.0000,0.0000,0.0000
"TIME-16","randoop",6,100.33,0.00,0.0000,1.0000,0.0000
"TIME-17","randoop",6,100.98,0.73,0.6786,0.5435,0.0030
"TIME-18","randoop",6,100.30,0.00,0.0000,1.0000,0.0000
"TIME-19","randoop",6,100.47,0.03,0.3300,0.1469,0.0449
"TIME-20","randoop",6,100.39,0.00,0.0000,0.0000,0.0000
"TIME-21","randoop",6,100.95,0.04,0.7981,0.6003,0.0226
"TIME-22","randoop",6,100.35,0.01,0.2432,0.0789,0.0000
"TIME-23","randoop",6,100.36,0.00,0.0000,0.0000,0.0000
"TIME-24","randoop",6,100.98,0.10,0.6494,0.4103,0.0053
"BARBECUE-25","randoop",6,101.97,0.03,1.0000,1.0000,1.0000
"TIME-26","randoop",6,100.31,0.00,0.0000,0.0000,0.0000
"TIME-27","randoop",6,100.31,0.00,0.0000,1.0000,0.0000
"BARBECUE-28","randoop",6,100.30,0.00,0.7037,0.5000,0.0000
"TIME-29","randoop",6,114.73,0.00,0.0000,0.0000,0.0000
"LUCENE-30","randoop",6,101.23,1.53,0.9688,0.5325,0.0000
"LANG-31","randoop",6,100.91,0.00,0.0000,0.0000,0.0000
"TIME-32","randoop",6,101.13,0.11,0.8480,0.7273,0.0174
"BARBECUE-33","randoop",6,100.36,0.00,0.0000,0.0000,0.0000
"TIME-34","randoop",6,101.14,0.07,0.7627,0.5714,0.0093
"BARBECUE-35","randoop",6,105.40,0.07,1.0000,1.0000,1.0000
"TIME-36","randoop",6,101.12,0.12,0.6456,0.4000,0.0056
"TIME-37","randoop",6,101.35,0.07,0.9111,0.7500,0.0181
"TIME-38","randoop",6,100.40,0.07,0.7340,0.3511,0.0020
"TIME-39","randoop",6,100.36,0.02,0.9783,0.5000,0.0000
"TIME-40","randoop",6,104.38,0.67,0.4561,0.5000,0.4883
"BARBECUE-41","randoop",6,100.47,0.02,0.2667,0.5000,0.1765
"TIME-42","randoop",6,101.19,0.00,0.0000,0.0000,0.0000
"BARBECUE-43","randoop",6,100.39,0.00,0.0000,0.0000,0.0000
"TIME-44","randoop",6,100.36,0.00,0.0000,1.0000,0.0000
"TIME-45","randoop",6,100.39,0.00,0.0000,0.0000,0.0000
"TIME-46","randoop",6,101.33,0.13,0.6667,0.4571,0.0047
"BARBECUE-47","randoop",6,101.14,0.05,0.6571,0.6111,0.4340
"BARBECUE-48","randoop",6,100.42,0.01,0.9887,0.7000,0.0007
"BARBECUE-49","randoop",6,100.36,0.00,0.8000,0.6250,0.3696
