benchmark,tool,runs,tgen,texec,avgcovi,avgcovb,avgcovm
"HIBERNATE-1","manual",7,154.8,0.6,1,0,0
"HIBERNATE-2","manual",7,120,0.6,1,0,1
"HIBERNATE-3","manual",7,3127.2,0.6,1,0.9375,0.9333
"HIBERNATE-4","manual",7,655.8,0.6,1,1,1
"HIBERNATE-5","manual",7,319.8,0.6,1,1,1
"HIBERNATE-6","manual",7,312,0.6,0.9063,0,1
"HIBERNATE-7","manual",7,316.2,0.6,1,0,0.3333
"SCRIBE-8","manual",7,900,0.6,0.9114,1,1
"SCRIBE-9","manual",7,1200,0.6,1,1,0.8
"SCRIBE-10","manual",7,1800,0.6,0.9671,0.8889,0.8261
"SCRIBE-11","manual",7,1260,0.6,0.734,0.5455,0.3721
"SCRIBE-12","manual",7,1080,0.6,0.9469,0.6,0.8235
"SCRIBE-13","manual",7,780,0.6,1,0.875,0.8636
"SCRIBE-14","manual",7,1020,0.6,1,0,1
"TWITTER4J-15","manual",7,1320,0.6,0.5242,0.6667,0.4
"TWITTER4J-16","manual",7,1200,0.6,0.4362,0.4583,0.5079
"TWITTER4J-17","manual",7,600,0.6,0.5305,0.463,0.3378
"TWITTER4J-18","manual",7,1320,0.6,0.4942,0.5278,0.4133
"TWITTER4J-19","manual",7,1020,1.8,0.2796,0.2451,0.2286
"TWITTER4J-20","manual",7,1800,0.6,0.5311,0.449,0.5422
"TWITTER4J-21","manual",7,900,9,0.0407,0.125,0.0108
"ASYNCHTTP-22","manual",7,1200,1.2,0.4447,0.3571,0.4154
"ASYNCHTTP-23","manual",7,1200,0.6,0.7892,0.4333,0.1909
"ASYNCHTTP-24","manual",7,600,0.6,0.5633,0.5094,0.4444
"ASYNCHTTP-25","manual",7,900,0.6,0.5382,0.4651,0.3953
"ASYNCHTTP-26","manual",7,1800,0.6,0.8181,0.4153,0.5424
"ASYNCHTTP-27","manual",7,780,0.6,0.3878,0.2459,0.2393
"ASYNCHTTP-28","manual",7,1140,1.2,0.2968,0.2951,0.1565
"GDATA-29","manual",7,1500,0.6,0.3092,0.3171,0.375
"GDATA-30","manual",7,1200,0.6,0.5243,0.4,0.4369
"GDATA-31","manual",7,960,0.6,0.3995,0.3409,0.2826
"GDATA-32","manual",7,780,0.6,0.3941,0.4189,0.2
"GDATA-33","manual",7,600,0.6,0.1266,0.1136,0.15
"GDATA-34","manual",7,540,0.6,0.2597,0.25,0.1667
"GDATA-35","manual",7,1200,0.6,0.2243,0.2273,0.1913
"GUAVA-36","manual",7,1020,0.6,0.6321,0.5707,0.486
"GUAVA-37","manual",7,900,0.6,0.618,0.6522,0.4681
"GUAVA-38","manual",7,660,0.6,0.603,0.6111,0.4595
"GUAVA-39","manual",7,1800,0.6,0.374,0.2708,0.2566
"GUAVA-40","manual",7,720,0.6,0.6346,0.4615,0.2083
"GUAVA-41","manual",7,1020,0.6,0.8486,0.7308,0.6703
"GUAVA-42","manual",7,540,0.6,0.7801,0.5417,0.5909
"JWPL-43","manual",7,600,0.6,0.8925,0.6667,0.6538
"JWPL-44","manual",7,2700,0.6,0.9133,0.7714,0.6975
"JWPL-45","manual",7,1200,1.8,0,0,0
"JWPL-46","manual",7,1560,0.6,0.4901,0.4286,0.4583
"JWPL-47","manual",7,1200,0.6,0.4536,0.186,0.0222
"JWPL-48","manual",7,600,0.6,0.8951,0.875,0.5
"JWPL-49","manual",7,2100,0.6,0.2493,0.18,0.209
"ECLIPSECS-50","manual",7,1300.8,0.6,0.62,0.25,0.3
"ECLIPSECS-51","manual",7,4447.8,0.6,0.8844,0.8667,1
"ECLIPSECS-52","manual",7,2323.2,0.6,0.5524,0.5714,0.2093
"ECLIPSECS-53","manual",7,1912.2,0.6,0.7688,0.3846,0.42
"ECLIPSECS-54","manual",7,2860.8,0.6,0.816,0.7308,0.617
"ECLIPSECS-55","manual",7,4101,0.6,0.7722,0.51,0.6066
"ECLIPSECS-56","manual",7,2539.2,0.6,0.9636,0.9231,0.9048
"JMLL-57","manual",7,1243.8,0.6,0.9702,0.9286,0.6563
"JMLL-58","manual",7,1570.2,0.6,1,0,0.7419
"JMLL-59","manual",7,1704,0.6,0.9576,0.9,0.5323
"JMLL-60","manual",7,1486.2,0.6,0.875,0.875,0.6774
"JMLL-61","manual",7,1032,0.6,0.8639,0.8,0.5625
"JMLL-62","manual",7,3214.8,0.6,0.9186,0.8125,0.6471
"JMLL-63","manual",7,540,0.6,0.9746,1,0.5
"HIBERNATE-1","randoop",7,100.8,1.2,1,0,0
"HIBERNATE-2","randoop",7,100.2,0.6,1,0,0
"HIBERNATE-3","randoop",7,100.2,0.6,0.0226,0,0
"HIBERNATE-4","randoop",7,100.2,0,0,0,0
"HIBERNATE-5","randoop",7,100.2,0,0,0,0
"HIBERNATE-6","randoop",7,100.2,0.6,0.5625,0,0.5
"HIBERNATE-7","randoop",7,100.2,0.6,0.7083,0,0.3333
"SCRIBE-8","randoop",7,102.6,11.4,0.6835,0.5,0.8889
"SCRIBE-9","randoop",7,100.2,0,0,0,0
"SCRIBE-10","randoop",7,101.4,1.8,0.8451,0.8333,0.8696
"SCRIBE-11","randoop",7,100.2,0,0,0,0
"SCRIBE-12","randoop",7,100.2,0,0,0,0
"SCRIBE-13","randoop",7,102.6,9,0.8992,0.875,0.7273
"SCRIBE-14","randoop",7,100.8,0.6,1,0,0.5
"TWITTER4J-15","randoop",7,100.2,0,0,0,0
"TWITTER4J-16","randoop",7,101.4,3,0.4973,0.4792,0.5238
"TWITTER4J-17","randoop",7,100.8,0.6,0.4905,0.3519,0.2568
"TWITTER4J-18","randoop",7,101.4,3.6,0.5659,0.5278,0.4933
"TWITTER4J-19","randoop",7,100.2,0,0,0,0
