benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"DUBBO-10","randoop",6,10,1.3,0,0,0
"DUBBO-2","randoop",6,10,1.3,0,0,0
"DUBBO-3","randoop",6,10,12.2,0.651,0.609,0.664
"DUBBO-4","randoop",6,10,11.8,0.683,0.5,0.333
"DUBBO-5","randoop",6,10,11.6,0.969,0.944,0.866
"DUBBO-6","randoop",6,10,11.4,0.021,0.028,0.023
"DUBBO-7","randoop",6,10,11.7,0.979,0.868,0.974
"DUBBO-8","randoop",6,10,11.3,0.045,0.02,0.019
"DUBBO-9","randoop",6,10,12.2,0.769,0.643,0.66
"FASTJSON-10","randoop",6,10,12.4,0.066,0,0.034
"FASTJSON-1","randoop",6,10,1.4,0,0,0
"FASTJSON-2","randoop",6,10,11.7,0.38,0.288,0.318
"FASTJSON-3","randoop",6,10,11.7,0.174,0.108,0.015
"FASTJSON-4","randoop",6,10,11.7,0.738,0.527,0.428
"FASTJSON-5","randoop",6,10,11.3,0.011,0.004,0.012
"FASTJSON-6","randoop",6,10,11.9,0.111,0.135,0.09
"FASTJSON-7","randoop",6,10,11.8,0.768,0.697,0.746
"FASTJSON-8","randoop",6,10,11.6,0.579,0.446,0.203
"FASTJSON-9","randoop",6,10,11.3,0.135,0.125,0.144
"JSOUP-1","randoop",6,10,11.9,0.95,0.758,0.06
"JSOUP-2","randoop",6,10,11.3,0.21,0.232,0
"JSOUP-3","randoop",6,10,11.3,0.213,0.088,0.262
"JSOUP-4","randoop",6,10,11.5,0.951,0.9,0.8
"JSOUP-5","randoop",6,10,11.7,0.48,0.183,0.241
"OKIO-10","randoop",6,10,11.6,0.673,0.6,0.473
"OKIO-1","randoop",6,10,11.6,0.755,0.618,0.006
"OKIO-2","randoop",6,10,11.8,0.714,0.63,0.638
"OKIO-3","randoop",6,10,11.9,0,0,0
"OKIO-4","randoop",6,10,11.4,0.014,0.006,0.009
"OKIO-5","randoop",6,10,11.4,0.028,0.015,0.013
"OKIO-6","randoop",6,10,11.5,0.342,0.321,0.366
"OKIO-7","randoop",6,10,11.6,0.6,0.5,0.447
"OKIO-8","randoop",6,10,11.6,0.661,0.409,0.307
"OKIO-9","randoop",6,10,11.3,0.533,0.384,0.358
"REDISSON-10","randoop",6,10,11.6,0.889,0.916,0.885
"REDISSON-1","randoop",6,10,12.7,0.104,0,0.034
"REDISSON-2","randoop",6,10,12.6,0.076,0,0
"REDISSON-3","randoop",6,10,12.1,0,0,0
"REDISSON-4","randoop",6,10,12.5,0.093,0,0.157
"REDISSON-5","randoop",6,10,12.8,0,0,0
"REDISSON-6","randoop",6,10,11.3,0,0,0
"REDISSON-7","randoop",6,10,1.2,0,0,0
"REDISSON-8","randoop",6,10,11.5,0.73,0.583,0.806
"REDISSON-9","randoop",6,10,11.7,0.794,0.409,0.555
"WEBMAGIC-1","randoop",6,10,1.3,0,0,0
"WEBMAGIC-2","randoop",6,10,1.3,0,0,0
"WEBMAGIC-3","randoop",6,10,11.7,0.853,0.419,0.582
"WEBMAGIC-4","randoop",6,10,11.6,0.746,0.166,0.655
"WEBMAGIC-5","randoop",6,10,11.6,0.806,0.75,0.75
"ZXING-10","randoop",6,10,11.9,0.38,0.316,0.25
"ZXING-1","randoop",6,10,11.9,0.087,0.033,0.022
"ZXING-2","randoop",6,10,11.4,0.003,0,0
"ZXING-3","randoop",6,10,11.5,0.625,0.474,0.234
"ZXING-4","randoop",6,10,1.3,0,0,0
"ZXING-5","randoop",6,10,13,0.109,0.075,0.011
"ZXING-6","randoop",6,10,11.3,0,0,0
"ZXING-7","randoop",6,10,11.9,0.5,0.407,0.355
"ZXING-8","randoop",6,10,11.5,0.051,0.033,0.019
"ZXING-9","randoop",6,10,12.1,0.777,0.632,0.468
"DUBBO-10","t3",6,10,4.5,0.128,0.181,0.179
"DUBBO-2","t3",6,10,2.8,0,0,0
"DUBBO-3","t3",6,10,4.5,0.953,0.943,0.911
"DUBBO-4","t3",6,10,4.4,0.683,0.666,0.555
"DUBBO-5","t3",6,10,4.5,0.969,0.944,0.877
"DUBBO-6","t3",6,10,4.4,0.043,0.028,0.023
"DUBBO-7","t3",6,10,4.4,1,0.968,0.987
"DUBBO-8","t3",6,10,4.7,0.8,0.625,0.721
"DUBBO-9","t3",6,10,4.6,0.793,0.701,0.724
"FASTJSON-10","t3",6,10,4.4,0.559,0.458,0.379
"FASTJSON-1","t3",6,10,12.1,0.032,0.027,0.01
"FASTJSON-2","t3",6,10,4.9,0.383,0.308,0.261
"FASTJSON-3","t3",6,10,14.6,0,0,0
"FASTJSON-4","t3",6,10,11.3,0.067,0.038,0.065
"FASTJSON-5","t3",6,10,6.5,0.019,0.011,0.028
"FASTJSON-6","t3",6,10,4.4,0.103,0.094,0.065
"FASTJSON-7","t3",6,10,6.1,0.645,0.526,0.502
"FASTJSON-8","t3",6,10,14.4,0,0,0
"FASTJSON-9","t3",6,10,4.4,0.17,0.187,0.197
"JSOUP-1","t3",6,10,14.5,0.28,0.212,0.135
"JSOUP-2","t3",6,10,4.6,0.59,0.59,0.054
"JSOUP-3","t3",6,10,4.3,0.708,0.411,0.679
"JSOUP-4","t3",6,10,11.3,0.247,0.2,0.161
"JSOUP-5","t3",6,10,4.5,0.593,0.325,0.347
"OKIO-10","t3",6,10,4.2,0.734,0.8,0.578
"OKIO-1","t3",6,10,14.5,0.115,0.077,0.051
"OKIO-2","t3",6,10,4.4,0.793,0.784,0.703
"OKIO-3","t3",6,10,4.3,0.257,0.23,0.139
"OKIO-4","t3",6,10,14.3,0,0,0
"OKIO-5","t3",6,10,11.5,0.565,0.328,0.331
"OKIO-6","t3",6,10,14.5,0.257,0.226,0.205
"OKIO-7","t3",6,10,14.2,0,0,0
"OKIO-8","t3",6,10,14.2,0.725,0.621,0.48
"OKIO-9","t3",6,10,4.2,0.6,0.423,0.282
"REDISSON-10","t3",6,10,8.4,0.776,0.59,0
"REDISSON-1","t3",6,10,12.8,0.061,0.111,0
"REDISSON-2","t3",6,10,5.2,0.076,0,0
"REDISSON-3","t3",6,10,10.1,0,0,0
"REDISSON-4","t3",6,10,6.1,0.077,0,0
"REDISSON-5","t3",6,10,5.4,0,0,0
"REDISSON-6","t3",6,10,5.3,0,0,0
"REDISSON-7","t3",6,10,3.1,0,0,0
"REDISSON-8","t3",6,10,5,0.715,0.541,0
"REDISSON-9","t3",6,10,4.1,0.713,0.56,0.046
"WEBMAGIC-1","t3",6,10,2.7,0,0,0
"WEBMAGIC-2","t3",6,10,2.6,0,0,0
