tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"dse","GUAVA-108",30,10,8.8908,0.09090909,0.05102041,0.07438017
"dse","GUAVA-108",120,10,10.0181,0.09090909,0.05102041,0.07438017
"dse","GUAVA-108",300,10,9.7696,0.09090909,0.05102041,0.07438017
"dse","GUAVA-11",30,10,4.4439,0,0,0
"dse","GUAVA-11",120,10,5.4469,0,0,0
"dse","GUAVA-11",300,10,5.2556,0,0,0
"dse","GUAVA-118",30,10,4.5267,0,0,0
"dse","GUAVA-118",120,10,4.7566,0,0,0
"dse","GUAVA-118",300,10,4.8531,0,0,0
"dse","GUAVA-128",30,10,9.1512,0.58450706,0.027027028,0.11842106
"dse","GUAVA-128",120,10,9.8499,0.58450706,0.027027028,0.11842106
"dse","GUAVA-128",300,10,9.2516,0.58450706,0.027027028,0.11842106
"dse","GUAVA-134",30,10,5.1417,0,0,0
"dse","GUAVA-134",120,10,6.4242,0,0,0
"dse","GUAVA-134",300,10,6.1855,0,0,0
"dse","GUAVA-148",30,10,6.7824,0.21153847,0.04166667,0.12765958
"dse","GUAVA-148",120,10,6.885,0.21153847,0.04166667,0.12765958
"dse","GUAVA-148",300,10,6.8715,0.21153847,0.04166667,0.12765958
"dse","GUAVA-156",30,10,29.0361,0,0,0
"dse","GUAVA-156",120,10,78.7733,0.06185567,0.029411764,0.071428576
"dse","GUAVA-156",300,10,183.5719,0.06185567,0.029411764,0.071428576
"dse","GUAVA-181",30,10,4.2261,0,0,0
"dse","GUAVA-181",120,10,4.2009,0,0,0
"dse","GUAVA-181",300,10,4.1159,0,0,0
"dse","GUAVA-192",30,10,5.1946,0,0,0
"dse","GUAVA-192",120,10,5.3158,0,0,0
"dse","GUAVA-192",300,10,5.1494,0,0,0
"dse","GUAVA-199",30,10,8.8401,0.23333334,0.2,0.24242424
"dse","GUAVA-199",120,10,9.4837,0.23333334,0.2,0.24242424
"dse","GUAVA-199",300,10,9.2876,0.23333334,0.2,0.24242424
"dse","GUAVA-200",30,10,9.6149,0.08029197,0.05555556,0.14925373
"dse","GUAVA-200",120,10,10.404,0.08029197,0.05555556,0.14925373
"dse","GUAVA-200",300,10,9.7497,0.08029197,0.05555556,0.14925373
"dse","GUAVA-213",30,10,4.4012,0,0,0
"dse","GUAVA-213",120,10,4.538,0,0,0
"dse","GUAVA-213",300,10,4.5068,0,0,0
"dse","GUAVA-226",30,10,8.3088,0.056818185,0,0.07692308
"dse","GUAVA-226",120,10,7.9267,0.056818185,0,0.07692308
"dse","GUAVA-226",300,10,7.8401,0.056818185,0,0.07692308
"dse","GUAVA-227",30,10,6.3929,0.0625,0,0
